Método,Clusters,Silhouette,Davies-Bouldin,Calinski-H
KMeans,7,0.7282044089957247,0.6984639363633788,40639.538432455076
FuzzyCMeans,7,0.6423138051680908,0.7094965182711718,30011.522201061962
Subtractive,3,0.6585166575245145,0.7542373315670047,21911.925556967475
DBSCAN,85,0.570285570616571,0.42009530480344504,9555.015147485594
GMM_full,7,0.5874199088497066,2.4121833544131226,14198.407838233705
