Modelo,ACC_mean_CORR,F1_mean_CORR,ACC_mean_ORIG,F1_mean_ORIG,Delta_ACC,Delta_F1
DecisionTree (depth=6),0.9842480861554431,0.9841480920500695,0.9835993252886986,0.9834842927477329,0.00064876086674448,0.0006637993023366207
DecisionTree (depth=10),0.9938237965485921,0.9938236843566155,0.9937459452445829,0.9937352179461836,7.785130400916884e-05,8.846641043191994e-05
LinearRegression (OvR),0.878474114441417,0.8556050932906765,0.8783184118333983,0.8554172495593126,0.00015570260801867075,0.0001878437313638237
